Player,Team,Position,Age,draft_year,draft_team,draft_round,round_pick,overall_pick
Jake Middleton,"MIN, S.J",D,28,2014,L.A,7,30,210
Jake Muzzin,TOR,D,35,2007,PIT,5,20,141
Jake Neighbours,STL,L,22,2020,STL,1,26,26
Jake Walman,"DET, STL",D,28,2014,STL,3,22,82
Jakob Chychrun,ARI,D,26,2016,ARI,1,16,16
Jakob Silfverberg,ANA,R,33,2009,OTT,2,9,39
Jakub Galvas,CHI,D,25,2017,CHI,5,26,150
Jakub Voracek,CBJ,R,34,2007,CBJ,1,7,7
Jakub Vrana,DET,L,28,2014,WSH,1,13,13
Jakub Zboril,BOS,D,27,2015,BOS,1,13,13
Jalen Chatfield,CAR,D,28,-,-,-,-,-
James Neal,STL,L,36,2005,DAL,2,3,33
James van Riemsdyk,PHI,L,35,2007,PHI,1,2,2
Jamie Benn,DAL,L,34,2007,DAL,5,8,129
Jamie Drysdale,ANA,D,22,2020,ANA,1,6,6
Jamie Oleksiak,SEA,D,31,2011,DAL,1,14,14
Jan Jenik,ARI,R,23,2018,ARI,3,3,65
Jan Rutta,T.B,D,33,-,-,-,-,-
Jani Hakanpaa,DAL,D,32,2010,STL,4,14,104
Janis Moser,ARI,D,24,2021,ARI,2,28,60
Janne Kuokkanen,N.J,"C, L",26,2016,CAR,2,13,43
Jansen Harkins,WPG,C,27,2015,WPG,2,17,47
Jared McCann,SEA,"C, L",28,2014,VAN,1,24,24
Jared Spurgeon,MIN,D,34,2008,NYI,6,5,156
Jaret Anderson-Dolan,L.A,C,24,2017,L.A,2,10,41
Jarred Tinordi,NYR,D,32,2010,MTL,1,22,22
Jason Dickinson,VAN,C,28,2013,DAL,1,29,29
Jason Robertson,DAL,L,24,2017,DAL,2,8,39
Jason Spezza,TOR,C,41,2001,OTT,1,2,2
Jason Zucker,PIT,L,32,2010,MIN,2,29,59
Jasper Weatherby,S.J,C,26,2018,S.J,4,9,102
Jay Beagle,ARI,C,38,-,-,-,-,-
Jaycob Megna,S.J,D,31,2012,ANA,7,29,210
Jayden Halbgewachs,S.J,L,27,-,-,-,-,-
Jayson Megna,COL,C,34,-,-,-,-,-
Jean-Gabriel Pageau,NYI,C,31,2011,OTT,4,5,96
Jeff Carter,PIT,C,39,2003,PHI,1,11,11
Jeff Malott,WPG,L,27,-,-,-,-,-
Jeff Petry,MTL,D,36,2006,EDM,2,15,45
Jeff Skinner,BUF,L,32,2010,CAR,1,7,7
Jeffrey Viel,S.J,L,27,-,-,-,-,-
Jeremy Davies,NSH,D,27,2016,N.J,7,11,192
Jeremy Lauzon,"NSH, SEA",D,27,2015,BOS,2,22,52
Jesper Boqvist,N.J,C,25,2017,N.J,2,5,36
Jesper Bratt,N.J,L,25,2016,N.J,6,11,162
Jesper Fast,CAR,R,32,2010,NYR,6,7,157
Jesper Froden,BOS,R,29,-,-,-,-,-
Jesperi Kotkaniemi,CAR,C,23,2018,MTL,1,3,3
Jesse Puljujarvi,EDM,R,26,2016,EDM,1,4,4
Jesse Ylonen,MTL,R,24,2018,MTL,2,4,35
Jimmy Vesey,N.J,L,31,2012,NSH,3,5,66
JJ Peterka,BUF,R,22,2020,BUF,2,3,34
Joe Pavelski,DAL,C,39,2003,S.J,7,8,205
Joe Snively,WSH,C,28,-,-,-,-,-
Joe Thornton,FLA,C,44,1997,BOS,1,1,1
Joe Veleno,DET,C,24,2018,DET,1,30,30
Joel Armia,MTL,R,31,2011,BUF,1,16,16
Joel Edmundson,MTL,D,30,2011,STL,2,16,46
Joel Eriksson Ek,MIN,C,27,2015,MIN,1,20,20
Joel Farabee,PHI,L,24,2018,PHI,1,14,14
Joel Hanley,DAL,D,33,-,-,-,-,-
Joel Kiviranta,DAL,L,28,-,-,-,-,-
Joey Anderson,TOR,R,25,2016,N.J,3,12,73
Joey Keane,CAR,D,24,2018,NYR,3,26,88
Johan Larsson,"ARI, WSH",L,31,2010,MIN,2,26,56
John Carlson,WSH,D,34,2008,WSH,1,27,27
John Hayden,BUF,C,29,2013,CHI,3,13,74
John Klingberg,DAL,D,31,2010,DAL,5,11,131
John Leonard,S.J,L,25,2018,S.J,6,27,182
John Marino,PIT,D,27,2015,EDM,6,3,154
John Moore,BOS,D,33,2009,CBJ,1,21,21
